Comment link,Commenter's Name,Commenter's Channel,Likes,Responses,Posted time,Edited time,comment,video title,labels,keyword 1,keyword 2,keyword 3
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=Ugx90B34sQtdpoQ58EJ4AaABAg,Skye Perez,http://www.youtube.com/channel/UCWKwU7oyu5Z2qNqP8UhCcSA,0,0,2021-06-01T11:48:57Z,2021-06-01T11:48:57Z,I love you guys!!!! ❤️❤️❤️❤️❤️❤️❤️,Which food would you rather?,,you guys,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgyvZeAfr12_oaMOoC94AaABAg,Melissa Mcleay,http://www.youtube.com/channel/UCCA4x843n-JpG54z7E0ppnA,0,0,2021-06-01T11:48:55Z,2021-06-01T11:48:55Z,Happy birthday link hope you had a amazing day.,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgyRdNXEhOnEPV7w8-14AaABAg,Tallouse,http://www.youtube.com/channel/UC-M7bkHlJ6yEoBgC2Lq6fVg,0,0,2021-06-01T11:48:32Z,2021-06-01T11:48:32Z,Happy Birthday Link 🎈🥳🎂🍧,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgxI-Uh5qSN2oapdEjx4AaABAg,J H,http://www.youtube.com/channel/UCW7HEh6IbuDPtL6_0uHp_dQ,0,0,2021-06-01T11:47:39Z,2021-06-01T11:47:39Z,Happy Birthday Link!! 👏🏻🥳🎂🎉🎈,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgzSVq2qWixtRwnVlkN4AaABAg,Alligator codm,http://www.youtube.com/channel/UCB_ug8skJyOglMiJpHYWXbQ,0,0,2021-06-01T11:47:32Z,2021-06-01T11:47:32Z,Happy Birthday link 🥳,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=Ugw4zBHVWLzE6gvSQJh4AaABAg,Mark Daños,http://www.youtube.com/channel/UCbPGxjOHt8WdI6rNALp8raA,0,0,2021-06-01T11:47:12Z,2021-06-01T11:47:12Z,link sacrificed for content🤣,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgwVrFIBLJjlsFlzGVV4AaABAg,Patrick Torquato,http://www.youtube.com/channel/UCmh6HshjxV6UWgfF00BSfHw,0,0,2021-06-01T11:47:02Z,2021-06-01T11:47:02Z,Happy birthday to you  Happy birthday to you Happy birthday Dear Link Happy birthday to you!,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgwJSjQzwsjv122Hhdx4AaABAg,Adam Brooks,http://www.youtube.com/channel/UCPZvmtFmVU7LYtuyoUZKY_Q,0,0,2021-06-01T11:46:21Z,2021-06-01T11:46:21Z,"Happy Happy "" 25th "" ( haha ) Birthday you old FART!",Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=Ugz50NnM3J0esSEI2TV4AaABAg,Bussa The Younger,http://www.youtube.com/channel/UCSE9_Wmz940fH8-CVEjp7rA,0,0,2021-06-01T11:46:20Z,2021-06-01T11:46:20Z,"oh, dude, you're totally getting vomited on before I do. Sorry, bud. Not me. Not today.",Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=Ugy2qhiCozhcC-SGefF4AaABAg,Carrie Anthony,http://www.youtube.com/channel/UCrNYMheAFbIJWVMMbq745Pg,0,0,2021-06-01T11:46:14Z,2021-06-01T11:46:14Z,Happy birthday Link,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgyR9GLK8puy9GCLMhV4AaABAg,Kinshasa PR.,http://www.youtube.com/channel/UCfI1BlxvZzD62xnSg1vpTZg,0,0,2021-06-01T12:00:26Z,2021-06-01T12:00:26Z,I would just eat healthier stuff that I would otherwise never eat cause they taste bad.,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgzQifu5p0ygEKPzw9R4AaABAg,Thomas F,http://www.youtube.com/channel/UCM4kUiam_-BD4GAcxRtltTA,0,0,2021-06-01T12:00:20Z,2021-06-01T12:00:20Z,Subway isn't that bad...,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgwK3opwA2717SuE6nV4AaABAg,Aztec Patrick,http://www.youtube.com/channel/UCg1hnXM7cJbwpNSn7vW8bGA,0,0,2021-06-01T11:59:57Z,2021-06-01T11:59:57Z,Bappy Hirthday Link!,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=Ugz7b9JLZlGrPJJH6rd4AaABAg,Simone Maria,http://www.youtube.com/channel/UCf21BziAcCYcZtzgWqq6Vsw,0,0,2021-06-01T11:59:22Z,2021-06-01T11:59:22Z,Happy birthday Link! 🥳,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgxmQtcJaFqNYXTLmuV4AaABAg,The Colorful Gecko,http://www.youtube.com/channel/UCvAY4YffDM-sjvURhVI-HSA,0,0,2021-06-01T11:59:20Z,2021-06-01T11:59:20Z,aging perfectly like some fine wine!!!,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgxAdHBsVGxqBF0kG3x4AaABAg,indie wortley,http://www.youtube.com/channel/UCYsU2treE7Iba8NcffSQuQQ,0,0,2021-06-01T11:58:27Z,2021-06-01T11:58:27Z,Ok but if I can't taste anything then I can actually eat healthy food. UPGRADES PEOPLE UPGRADES.,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=UgxMTsdQY0JFolS-xQx4AaABAg,gaston moreno,http://www.youtube.com/channel/UCcl86to7lYhUJxSkzqrUEcw,0,0,2021-06-01T11:58:23Z,2021-06-01T11:58:23Z,Happy birthday. Been watching for years!  Part of my mornings,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=Ugw-a9bVJDfcDFKbSsZ4AaABAg,Nick Ostergard,http://www.youtube.com/channel/UCTRGIOhET_HSyxQMQntQazA,0,0,2021-06-01T11:55:44Z,2021-06-01T11:55:44Z,Link today is my birthday also happy birthday my guy love the content,Which food would you rather?,,,,
https://www.youtube.com/watch?v=VmCNX65Fq8A&lc=Ugzqem9p3noyLPKCPs94AaABAg,J Bode,http://www.youtube.com/channel/UCHrCIexLsvGRL4txqd00Vuw,0,0,2021-06-01T11:55:29Z,2021-06-01T11:55:29Z,You could bring your own bottled water and not order drinks at the restaurant. Problem solved.,Which food would you rather?,,,,
